,estimator,depth,bs,split,feature,accuracy
326,100,5,True,3,auto,0.8673469387755102
327,100,5,True,1,sqrt,0.8469387755102041
328,100,5,True,2,sqrt,0.8469387755102041
329,100,5,True,3,sqrt,0.8469387755102041
330,100,5,True,1,log2,0.8673469387755102
331,100,5,True,2,log2,0.8673469387755102
332,100,5,True,3,log2,0.8673469387755102
333,100,5,False,1,auto,0.8367346938775511
334,100,5,False,2,auto,0.8367346938775511
335,100,5,False,3,auto,0.8367346938775511
336,100,5,False,1,sqrt,0.8469387755102041
337,100,5,False,2,sqrt,0.8469387755102041
338,100,5,False,3,sqrt,0.8469387755102041
339,100,5,False,1,log2,0.8979591836734694
340,100,5,False,2,log2,0.8979591836734694
341,100,5,False,3,log2,0.8877551020408163
342,100,10,True,1,auto,0.8673469387755102
343,100,10,True,2,auto,0.8673469387755102
344,100,10,True,3,auto,0.8673469387755102
345,100,10,True,1,sqrt,0.8673469387755102
346,100,10,True,2,sqrt,0.8673469387755102
347,100,10,True,3,sqrt,0.8673469387755102
348,100,10,True,1,log2,0.8673469387755102
349,100,10,True,2,log2,0.8673469387755102
350,100,10,True,3,log2,0.8571428571428571
351,100,10,False,1,auto,0.8061224489795918
352,100,10,False,2,auto,0.8061224489795918
353,100,10,False,3,auto,0.8061224489795918
354,100,10,False,1,sqrt,0.8775510204081632
355,100,10,False,2,sqrt,0.8775510204081632
356,100,10,False,3,sqrt,0.8775510204081632
357,100,10,False,1,log2,0.8571428571428571
358,100,10,False,2,log2,0.8571428571428571
359,100,10,False,3,log2,0.8673469387755102
360,100,15,True,1,auto,0.8673469387755102
361,100,15,True,2,auto,0.8673469387755102
362,100,15,True,3,auto,0.8673469387755102
363,100,15,True,1,sqrt,0.8673469387755102
364,100,15,True,2,sqrt,0.8673469387755102
365,100,15,True,3,sqrt,0.8673469387755102
366,100,15,True,1,log2,0.8673469387755102
367,100,15,True,2,log2,0.8673469387755102
368,100,15,True,3,log2,0.8571428571428571
369,100,15,False,1,auto,0.8061224489795918
370,100,15,False,2,auto,0.8061224489795918
371,100,15,False,3,auto,0.8061224489795918
372,100,15,False,1,sqrt,0.8775510204081632
373,100,15,False,2,sqrt,0.8775510204081632
374,100,15,False,3,sqrt,0.8775510204081632
375,100,15,False,1,log2,0.8571428571428571
376,100,15,False,2,log2,0.8571428571428571
377,100,15,False,3,log2,0.8673469387755102
378,100,20,True,1,auto,0.8673469387755102
379,100,20,True,2,auto,0.8673469387755102
380,100,20,True,3,auto,0.8673469387755102
381,100,20,True,1,sqrt,0.8673469387755102
382,100,20,True,2,sqrt,0.8673469387755102
383,100,20,True,3,sqrt,0.8673469387755102
384,100,20,True,1,log2,0.8673469387755102
385,100,20,True,2,log2,0.8673469387755102
386,100,20,True,3,log2,0.8571428571428571
387,100,20,False,1,auto,0.8061224489795918
388,100,20,False,2,auto,0.8061224489795918
389,100,20,False,3,auto,0.8061224489795918
390,100,20,False,1,sqrt,0.8775510204081632
391,100,20,False,2,sqrt,0.8775510204081632
392,100,20,False,3,sqrt,0.8775510204081632
393,100,20,False,1,log2,0.8571428571428571
394,100,20,False,2,log2,0.8571428571428571
395,100,20,False,3,log2,0.8673469387755102
396,100,25,True,1,auto,0.8673469387755102
397,100,25,True,2,auto,0.8673469387755102
398,100,25,True,3,auto,0.8673469387755102
399,100,25,True,1,sqrt,0.8673469387755102
400,100,25,True,2,sqrt,0.8673469387755102
401,100,25,True,3,sqrt,0.8673469387755102
402,100,25,True,1,log2,0.8673469387755102
403,100,25,True,2,log2,0.8673469387755102
404,100,25,True,3,log2,0.8571428571428571
405,100,25,False,1,auto,0.8061224489795918
406,100,25,False,2,auto,0.8061224489795918
407,100,25,False,3,auto,0.8061224489795918
408,100,25,False,1,sqrt,0.8775510204081632
409,100,25,False,2,sqrt,0.8775510204081632
410,100,25,False,3,sqrt,0.8775510204081632
411,100,25,False,1,log2,0.8571428571428571
412,100,25,False,2,log2,0.8571428571428571
413,100,25,False,3,log2,0.8673469387755102
414,100,30,True,1,auto,0.8673469387755102
