PSJudge,avgEVC,avgSD,binCount,binSize,cocoWindow,cvWindow,elle,il,ils,je,judgementMethod,keywordMethod,le,netAngle,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounCount,pronounFrac,rfAccuracy,rfClassAccuracy,rfClassExact,rfClassMAE,rfMAE,runID,svmAccuracy,svmClassAccuracy,svmClassExact,svmClassMAE,svmMAE,targetWordCount,toBeCount,toBeFrac,vous
0.0,0.00556589788217,0.00785458155096,355,10,3.0,3.0,0.00297588892016,0.144114762667,0.425185932582,0.0163160392435,pronounFrac,tfidfNoPro,0.0274250013821,30.0,0.22386833975,0.0147607910369,0.000143873579936,0.00852984820705,0.00665420460152,,0.00968731423184,0.900900900901,,,,0.283783783784,YNJG3G,0.900900900901,,,,0.419749881736,15.0,,,0.106917524364
0.00648668296719,0.00536720605505,0.00663250388538,355,10,3.0,3.0,0.00528110634661,0.150295314416,0.419072125337,0.00677497000667,pronounFrac,tfidfNoPro,0.00819447495303,30.0,0.25195431042,0.0386805023983,0.00556983992921,0.0124778032873,0.0122076732903,,0.00450671695247,0.936936936937,,,,0.28018018018,7B7C2E,0.882882882883,,,,0.424596826395,20.0,,,0.0664987697548
0.0080309613171,0.0238699444366,0.00188309259923,355,10,3.0,3.0,0.00922757169667,0.135683788534,0.411226659476,0.0154405804908,pronounFrac,tfidfNoPro,0.0642134476665,30.0,0.160193626156,0.0334445322044,0.0,0.0149136033868,0.00088966673959,,0.0486787564428,0.90990990991,,,,0.321482196482,XYVISL,0.963963963964,,,,0.352945661701,30.0,,,0.0723037688537
0.00166481138403,0.00247834042677,0.00474141013811,355,10,3.0,3.0,0.00792055474181,0.120064483862,0.427098152566,0.0637897509151,pronounFrac,tfidf,0.066860609487,30.0,0.166593743524,0.0251235144076,0.00266775625812,0.0105974616745,0.00113989074921,,0.0375818721859,0.864864864865,,,,0.373359073359,Y6DDDX,0.828828828829,,,,0.49166387854,15.0,,,0.0616776476803
0.00171931944697,0.00307802741529,0.00440448523894,355,10,3.0,3.0,0.00171040249475,0.141443234198,0.459164353599,0.00778191163557,pronounFrac,tfidf,0.0158448489331,30.0,0.238923845757,0.0123839082849,0.00110317885536,0.00725978324059,0.0,,0.0215960450969,0.936936936937,,,,0.190990990991,7J7LBO,0.90990990991,,,,0.382517339991,20.0,,,0.0835866558035
0.00535948214957,0.00843405789666,0.0184395354286,355,10,3.0,3.0,0.00293113982244,0.13638979983,0.435327789217,0.0520275862124,pronounFrac,tfidf,0.0302554981107,30.0,0.171622906005,0.00706649096382,0.008592308929,0.0193555534109,0.00240361686659,,0.0378721598231,0.900900900901,,,,0.36758043758,BZ2OB7,0.927927927928,,,,0.374305020049,30.0,,,0.0639220753338
0.000496094025832,0.00290756114792,0.00137714210291,355,10,3.0,3.0,0.0128796033526,0.114602306963,0.446579370902,0.00895829332538,both,tfidfNoPro,0.031440648403,30.0,0.143975060255,0.00861939528136,0.0,0.0138119171869,0.000975340786166,,0.0480554426024,0.918918918919,,,,0.234234234234,RO610D,0.927927927928,,,,0.349189753398,15.0,,0.104108060553,0.0612137631124
0.00591924391818,0.00252177338691,0.00323530852884,355,10,3.0,3.0,0.022867597617,0.146954414582,0.446983313366,0.00703330590536,both,tfidfNoPro,0.0105549039843,30.0,0.168646669156,0.00711083538841,0.00564007211821,0.00746397289021,0.00150810760109,,0.0436524844004,0.945945945946,,,,0.2,2YZAOL,0.972972972973,,,,0.285752735862,20.0,,0.0667956566355,0.0531123405225
0.00357157335179,0.00505867525746,0.000534502742827,355,10,3.0,3.0,0.0,0.140868858262,0.44048505549,0.0220332969321,both,tfidfNoPro,0.000697828731634,30.0,0.191485406349,0.0425338130249,0.0,0.00553444450669,0.0,,0.0201559460342,0.891891891892,,,,0.38018018018,L12N5M,0.918918918919,,,,0.350236661281,30.0,,0.068300279739,0.058740319578
0.0306995040512,0.0307304774077,0.0132793070753,1175,3,3.0,3.0,0.0506937148523,0.117232727149,0.254087245611,0.0839036577725,both,tfidfNoPro,0.0243221253813,30.0,0.125780300896,0.024142397509,0.0047854423427,0.0215516827214,0.00835106373252,,0.0392819514512,0.814084507042,,,,0.554341008572,FISNPM,0.842253521127,,,,0.581386520687,20.0,,0.0638534607906,0.107304941256
0.0141972954853,0.0169705282666,0.00830360109476,1175,3,3.0,3.0,0.0688595841579,0.102281092152,0.300499095157,0.0654642925429,pronounFrac,tfidf,0.0166083915701,30.0,0.191226785719,0.0485925730286,0.00258370200633,0.0275114317545,0.00315984901245,,0.0370656681917,0.777464788732,,,,0.64709747591,D25MTC,0.828169014085,,,,0.597314715459,20.0,,,0.0966761098608
0.033439785309,0.0109150989986,0.0163205201133,707,5,3.0,3.0,0.0209464767908,0.125632986414,0.346184120446,0.0376537655601,both,tfidfNoPro,0.00945252889346,30.0,0.0927819373049,0.039331113547,0.00205333085533,0.0168286598581,0.00632167120736,,0.0259273293658,0.875,,,,0.420536015949,N4MGVF,0.907407407407,,,,0.439981491078,20.0,,0.133723200028,0.0824874753089
0.00968406530636,0.025905978103,0.00489225511398,707,5,3.0,3.0,0.0171656628401,0.136230876479,0.340943741782,0.0599726788392,pronounFrac,tfidf,0.0371374237517,30.0,0.177341351318,0.0175210569057,0.0134429225061,0.0208552352137,0.00709337902351,,0.0411277487581,0.861111111111,,,,0.421368930896,4S2UA2,0.856481481481,,,,0.499051298257,20.0,,,0.0906856240589
